Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,
76,17 Aug 2019 14:33:27.725,17 Aug 2019 14:41:20.371,472.646,,
77,18 Aug 2019 05:36:09.469,18 Aug 2019 05:45:50.369,580.899,,
78,18 Aug 2019 07:11:43.862,18 Aug 2019 07:22:25.855,641.993,,
79,18 Aug 2019 08:48:51.444,18 Aug 2019 08:58:56.270,604.826,,
80,18 Aug 2019 10:25:56.948,18 Aug 2019 10:36:04.647,607.698,,
81,18 Aug 2019 12:02:25.202,18 Aug 2019 12:13:08.316,643.115,,
82,18 Aug 2019 13:39:05.335,18 Aug 2019 13:48:29.751,564.416,,
83,19 Aug 2019 04:43:10.680,19 Aug 2019 04:51:33.578,502.898,,
84,19 Aug 2019 06:17:50.428,19 Aug 2019 06:28:32.418,641.99,,
85,19 Aug 2019 07:54:39.716,19 Aug 2019 08:04:56.693,616.977,,
86,19 Aug 2019 09:31:54.140,19 Aug 2019 09:41:53.112,598.972,,
87,19 Aug 2019 11:08:32.041,19 Aug 2019 11:19:07.851,635.811,,
88,19 Aug 2019 12:44:59.042,19 Aug 2019 12:55:13.203,614.161,,
89,19 Aug 2019 14:23:35.615,19 Aug 2019 14:27:30.226,234.611,,
90,20 Aug 2019 03:50:51.561,20 Aug 2019 03:56:46.896,355.335,,
91,20 Aug 2019 05:24:09.281,20 Aug 2019 05:34:36.425,627.144,,
92,20 Aug 2019 07:00:30.308,20 Aug 2019 07:11:00.859,630.551,,
93,20 Aug 2019 08:37:46.863,20 Aug 2019 08:47:44.101,597.238,,
94,20 Aug 2019 10:14:37.444,20 Aug 2019 10:25:00.455,623.011,,
95,20 Aug 2019 11:51:00.901,20 Aug 2019 12:01:38.569,637.668,,
96,20 Aug 2019 13:28:16.850,20 Aug 2019 13:35:47.387,450.537,,
97,21 Aug 2019 04:30:44.095,21 Aug 2019 04:40:34.428,590.334,,
98,21 Aug 2019 06:06:26.419,21 Aug 2019 06:17:07.294,640.875,,
99,21 Aug 2019 07:43:36.211,21 Aug 2019 07:53:39.232,603.02,,
100,21 Aug 2019 09:20:39.713,21 Aug 2019 09:30:49.318,609.606,,
101,21 Aug 2019 10:57:06.706,21 Aug 2019 11:07:50.136,643.43,,
102,21 Aug 2019 12:33:50.290,21 Aug 2019 12:43:02.686,552.396,,
103,22 Aug 2019 03:37:40.610,22 Aug 2019 03:46:20.667,520.058,,
104,22 Aug 2019 05:12:31.179,22 Aug 2019 05:23:14.062,642.883,,
105,22 Aug 2019 06:49:24.385,22 Aug 2019 06:59:38.936,614.551,,
106,22 Aug 2019 08:26:37.699,22 Aug 2019 08:36:37.600,599.901,,
107,22 Aug 2019 10:03:13.618,22 Aug 2019 10:13:51.176,637.557,,
108,22 Aug 2019 11:39:42.029,22 Aug 2019 11:49:49.859,607.83,,
109,22 Aug 2019 13:18:51.785,22 Aug 2019 13:21:28.303,156.519,,
110,23 Aug 2019 02:45:12.202,23 Aug 2019 02:51:41.624,389.422,,
111,23 Aug 2019 04:18:47.676,23 Aug 2019 04:29:18.753,631.077,,
112,23 Aug 2019 05:55:14.333,23 Aug 2019 06:05:42.583,628.25,,
113,23 Aug 2019 07:32:31.146,23 Aug 2019 07:42:28.025,596.879,,
114,23 Aug 2019 09:09:19.419,23 Aug 2019 09:19:44.750,625.331,,
115,23 Aug 2019 10:45:42.879,23 Aug 2019 10:56:17.978,635.099,,
116,23 Aug 2019 12:23:07.303,23 Aug 2019 12:30:12.888,425.585,,
117,24 Aug 2019 03:25:19.420,24 Aug 2019 03:35:18.121,598.701,,
118,24 Aug 2019 05:01:09.254,24 Aug 2019 05:11:48.780,639.526,,
119,24 Aug 2019 06:38:20.929,24 Aug 2019 06:48:22.399,601.47,,
120,24 Aug 2019 08:15:22.328,24 Aug 2019 08:25:34.034,611.706,,
121,24 Aug 2019 09:51:48.255,24 Aug 2019 10:02:31.673,643.418,,
122,24 Aug 2019 11:28:35.823,24 Aug 2019 11:37:34.814,538.991,,
123,25 Aug 2019 02:32:11.608,25 Aug 2019 02:41:07.003,535.395,,
124,25 Aug 2019 04:07:12.300,25 Aug 2019 04:17:55.665,643.365,,
125,25 Aug 2019 05:44:09.096,25 Aug 2019 05:54:21.356,612.26,,
126,25 Aug 2019 07:21:21.091,25 Aug 2019 07:31:22.212,601.121,,
127,25 Aug 2019 08:57:55.152,25 Aug 2019 09:08:34.305,639.153,,
128,25 Aug 2019 10:34:25.316,25 Aug 2019 10:44:25.957,600.641,,
129,26 Aug 2019 01:39:35.333,26 Aug 2019 01:46:34.143,418.81,,
130,26 Aug 2019 03:13:26.548,26 Aug 2019 03:24:00.914,634.366,,
131,26 Aug 2019 04:49:58.502,26 Aug 2019 05:00:24.424,625.922,,
132,26 Aug 2019 06:27:15.276,26 Aug 2019 06:37:12.126,596.85,,
133,26 Aug 2019 08:04:01.277,26 Aug 2019 08:14:28.952,627.675,,
134,26 Aug 2019 09:40:25.008,26 Aug 2019 09:50:56.964,631.956,,
135,26 Aug 2019 11:17:59.378,26 Aug 2019 11:24:36.531,397.153,,
136,27 Aug 2019 00:48:30.705,27 Aug 2019 00:50:39.299,128.594,,
